酸ヶ湯温泉国民保養温泉地計画書,"酸ヶ湯温泉は 300 年の昔から開かれていた山の温泉宿であり、その泉質は酸性・含硫黄－ナトリウム－硫酸塩泉（硫化水素型）で、神経痛、筋肉痛、慢性消化器病などの効能がある。
総ヒバ造りの千人風呂は、広さ約 80 坪の浴室に「熱の湯」、「四分六分の湯」、「鹿の湯」、「冷の湯」と 4 種類の浴槽に分かれており、その柱の 1 本もない大空間で、老若男女に昔ながらのスタイルで湯あみされている。
また、酸ヶ湯温泉から歩いて 5 分のところに位置するキャンプ場は、ブナ林に囲まれた八甲田・大岳を望む敷地内にあり、青森ヒバで建てられた管理棟や、ベンチ・釜場を備えた炊事棟及び、テントサイトなどの施設が整備されている。平成 19 年のリニューアルオープン後は、野外活動を楽しむ場として、登山などのレジャーを目的に八甲田を訪れる多くの方に利用されている。"
田沢湖高原温泉郷 国民保養温泉地計画書,"田沢湖高原温泉郷は、十和田八幡平国立公園の八幡平地区の西南端に位置し、乳 頭温泉と田沢湖高原温泉からなる。源泉は、乳頭温泉については乳頭山麓に点在する７湯からなり、その泉質は多種多様であり、湧出量は１０から６５０Ｌ／分、湧出温度は３０℃から８６℃である。
田沢湖高原温泉については乳頭温泉からの引湯（造成井）であり、その泉質は乳白色の単純硫黄泉で湧出量最大で５７５Ｌ／分、湧出温度最高で７１℃である。"
碁点温泉 国民保養温泉地計画書,"碁点温泉は、山形県の中央部村山盆地の北部に位置する村山市にあり、東に日本三大急 流の一つである最上川が北流し、西に山岳信仰の対象であった霊峰葉山を擁する風光明媚 な温泉地である。この温泉地の面積は 121.8ha（図上計測）であり、地名は最上川の難所 と呼ばれる「三ヶ瀬」「隼」「碁点」のうち、温泉地内にある「碁点」に由来している。 2 つの源泉を持つ碁点温泉は、宿泊施設及び日帰り入浴施設に供給されており、源泉か け流しの湯は「きりきず・やけど・慢性皮膚病」に効果があるとされ、地元住民はもとよ り遠方からの観光客にも親しまれ、多くの入湯客で賑わっている。
"
四万温泉国民保養温泉地計画書,"四万温泉は、群馬県の北西部に位置しており、面積は 171.6 ㌶、北は新潟県に接する県境まで、三国山系の高峰がそびえる上信越高原国立公園内にあり、標高 600㍍から 700 ㍍、四万川の渓流に沿った細長い温泉街で、上流から日向見・ゆずりは・新湯・山口・温泉口の 5 つの地区の総称である。
地形的には、周囲を 1,500ｍ級の山々に囲まれており、すり鉢の中から空を見上げるに例えられる。豊かな山々からの清流は摩耶の滝・小倉の滝・小泉の滝に代表される美しい滝となり、天然のイワナやヤマメが多く生息しており、また、豊かな森林環境のもとで、天然記念物ニホンカモシカやニホンザル、キジや山鳥など貴重な動物を含め多種多様な動物たちが生息している。
源泉は、ほとんどが四万川の河川沿いに所在し、合計で 41 源泉あり、そのうち37 源泉が常時利用されている。ほとんどが自噴泉で、温泉の湧出温度は 26℃から84℃、総湧出量は 3,000～4,000Ｌ／分である。また、温泉の泉質は、ｱﾙｶﾘ性単純温泉とﾅﾄﾘｳﾑ・ｶﾙｼｳﾑ-塩化物・硫酸塩温泉である。"
芦之湯温泉国民保養温泉地計画書,"芦之湯温泉は、鎌倉時代から湯治場として機能していたことが複数の文献に記 載されており、古くから知られた温泉地である。江戸時代の後期には｢箱根七湯｣ の温泉と名所等を廻る｢七湯廻り｣が実施されるようになり、多くの文人墨客が 訪れるようになった。芦之湯とその周辺には東光庵、精進池、石仏・石塔群な どの歴史的および文化的な遺産が遺されている。 泉質は、箱根温泉では唯一の中性の硫黄温泉で、美肌の湯と評されることも 多く、その他硫化水素型の硫酸塩泉などの温泉もある。
"
六日町温泉国民保養温泉地計画書,"六日町温泉の泉質は、ナトリウム‐塩化物温泉（低張性弱アルカリ性高温泉）と単純 温泉（低張性弱アルカリ性高温泉）で、二種類の温泉を楽しむことができる。神経痛、 関節痛、冷え性などに効能があり、優しい温泉であることから「家族の湯」「美肌の湯」 と言われている。新潟県でも有数の湧出量を誇ることから観光客だけでなく、保養や療 養を目的とした宿泊客にも多く利用されている。また、温泉宿には「温泉ソムリエ」が おり来訪者に温泉の情報や温泉の入浴方法を発信し、温泉好きを増やす取り組みに力を 入れている。今後は、関東圏からのアクセスの良さや優れた交通の利便性を生かし、六 日町地域の文化や歴史を大切に継承しながら、四季折々に色濃く変化をみせる豊かな自 然環境と調和し、観光客だけでなく地元民からも親しまれる温泉地を目指す。
"
丸子温泉郷 国民保養温泉地計画書,"丸子温泉郷の三温泉地（鹿教湯温泉・大塩温泉・霊泉寺温泉）は、それぞれ独自の歴史と異な る泉質・効能をもっているが、ともに弱アルカリ性の泉質は良好であり、高血圧・中風・動脈硬 化・関節リュウマチなどに効能がある。 鹿教湯温泉の名は、鹿に化けた文殊菩薩が信仰心の厚い猟師に出湯のありかを教えたという古 事に由来しており、文殊堂や五台橋をはじめとする歴史文化資源に恵まれているだけでなく、温 泉治療とリハビリテーションの聖地として広く知られている。 大塩温泉は、武田信玄が川中島の合戦で負傷した傷兵の治療のために使用したことから“信玄 の隠し湯”と伝わっており、昔から傷によく効く温泉として知られ、温泉の効能はラジウムの含 有によるものであることが分かっている。
"
白川郷平瀬温泉国民保養温泉地計画書,"白川郷平瀬温泉（面積 171.47 ㌶）は、白川村の南端、白山国立公園の東部に所在して おり、白川村平瀬地区、長瀬地区、木谷地区、大白川地区のうち、位置図に示す地域で 構成されている。 泉質は含硫黄-ナトリウム-塩化物泉に分類され、皮膚病やリユウマチ、冷え症などに 効用があるとされており、登山客や地元農家の休養の場として利用されてきた。また、 昔から伝わる伝承から、子供に恵まれる「子宝の湯」としても知られており、地元のみ ならず、内外の利用者に親しまれている。
"
十津川温泉 国民保養温泉地計画書,"十津川温泉は、元禄年間に炭焼き職人が発見 したと云われている大字平谷地内の下湯を源泉 とし、村内で最も多くの宿泊施設や商店が集ま る二津野ダム湖畔沿いの温泉。 十津川温泉の泉質はナトリウム‐炭酸水素塩 泉で、９軒の宿泊施設、３軒の公衆浴場、その 他医療機関や介護施設等にも給湯しており、全 国でも珍しい温泉を活用したプールや、奈良県 第１号の飲泉場を有している。
上湯温泉は、十津川温泉より和歌山県田辺市龍神村に向かう大字出谷地内の上湯川上流に湧出しており、享保年間に里人が見つけたと云われる大自然の中に静かに開ける秘湯。
上湯温泉の泉質は含硫黄‐ナトリウム‐炭酸水素塩泉で、１軒の温泉旅館で利用されており、上湯川の川の流れの中にも温泉が湧き出ている。
"
温泉利用のいろは_14_2_ha,"8含よう素泉、泉質別適応症は飲用がコレステロール血症。
よう化物イオンを10mg/kg 以上含む。
特　徴
・非火山性の温泉に多く、放置すると黄色く着色します。日本は、よう素の主要生産国です。
・飲んで総コレステロールを抑制します。
9硫黄泉、泉質別適応症は浴用がアトピー性皮膚炎、尋常性乾癬、慢性湿疹、表皮化膿症、飲用が飲耐糖能異常（糖尿病）、高コレステロール血症。
総硫黄を2mg/kg以上含む。
特　徴
・殺菌力が強く、表皮の細菌やアトピー原因物質を取り除きます。
10放射能泉、泉質別適応症は浴用が高尿酸血症（痛風）、関節リウマチ、強直性脊椎炎など。
ラドンを30×10-10Ci/kg（8.25 マッヘ単位）以上含む。
特　徴
・温泉に含まれる微量の放射能は、炎症に効果的です。"
